id,comment
@user-dn2724use,사랑이란 천생연분이 아닙니다이웃과 지인과 주고받는 소통가운데 자신의 결점을 극복하는 과정입니다 나의 마음에 담고사는 주인이 바로 나의 미래의 약속입니다 사랑은 항상 순결하고 흠이 없고 티가 없어야 됩니다 그럴려면 보석가공하듯이 마음청결이 필요합니다 마치 앞마당에서 들려오는 매미집소리처럼말입니다 다들 복잡하다고 하지만 박자늦은 우리들은 여름한낮에 소음이 없으면 안절부절못합니다난 믿습니다 부정하지 않습니다 크리스챤이니까요
@jajunga93,이재훈...진짜 노래 잘한다.....나가수 나왔으면...그목소리 계속 들을수있게....20대 이재훈도 멋있지만 최근 재훈님도 너무 멋져요. ....죽을때까지 영원히 팬입니다....
@user-xy3sv8ps3w,이게 이시대노래란게 아이러니하다.시대를앞서간 노래다.지금들어도 신나고 좋다
@Jessica-kl4ow,요즘아이돌춤보다 옛날 춤이 헐씬 와닿는다~~ 이재훈 완젼~~ 짱~~
@user-fs6xq1zf2t,노래 너무 좋다ㅠㅠ
@user-cl6wi7ql7m,김성수님 힘든 시기를 보낼지라도 좋은날 꼭 올테니화이팅 하세요!
@user-fy3nr4yr9l,지금 들어도 너무 좋다!!쿨~~내 젊은시절을 함께한 노래이자 그룹~
@duca7101,"""쿨""의 (슬퍼지려 하기전에)는 1993년 보컬 그룹 ""자유시간""출신 가수 최선원의 솔로 데뷔곡?(슬퍼지려?하기전에)의 팝발라드를 이곡의 작곡자이자 ""쿨""의 창단 멤버인 최준영이 ""쿨""2집(타이틀;작은기다림-최준영 작곡)에서 댄스팝으로 편곡하여 전혀 새로운 분위기의?오리지널리티를 가진 명곡으로 탄생시켰습니다. 작곡자 최준영은 ""쿨""1집 이후 그룹을 탈퇴하고 작곡과 음반제작에 전념하기 시작하여 ""쿨""2집(작은 기다림),(슬퍼지려하기전에) ?룰라(날개잃은 천사),(프로와 아마추어)김건모(서울의 달),(헤어지던 날),(짱가)(스피드)...핑클의(루비) 코요테(순정),(만남) 이정현(와),(바꿔) 등 여러 가수의 수많은 히트곡들을 작곡하였으며 영화 (식객),(간기남),(미인도)의 제작과 영화음악 프로듀서로 참여 하였고 이후에도 작곡가로 활발하게 활동하고 있습니다."
@leebyeungok,저렇게 안무가 어색하면서도 자연스러울수가... ㅋㅋ...     여름만 되면 나와서 1등을 해버리는 그룹.. 그립네요.
@user-xi7zo7iu9r,누구도 부정할 수 없는 한국 대중가요의 큰 획. 이렇게 슬픈 가사를 이런 리듬에? 하지만 전혀 어색하지않아.
@syhan8486,"그땐 이다지 좋은지 몰랐는데 2020.6월 매일 듣고 있어요~이재훈 저 날리는 머리카락..살짝 흐느적거리는 춤..진짜 매력있네요..유리, 성수 셋이 너무 잘 어울려요~노래 작곡 작사 너무 좋구요~^^"
@user-xv3le1sm5j,명곡.  언제들어도 완전 신나...
@user-qv4cu2bn4g,레전드그립다 그시절다시 돌아갈수 없는 나이내나이 60쿨쿨하게 잘자
@angelwoong27,오랜만에 들어도 너무 좋네요!
@user-xq5hv2yx1s,역시 쿨 최고 ㅠ 내 유년기시절의 추억 그리고 우상..?나 4살때 나온 노랜데 넘좋다.
@dream0707,"이재훈은 해어스타일부터 외모가, 지금 봐도 참 세련되게 생겼다"
@Siren119,태어날때쯤 노래라서 처음 듣는데 옛날에 이런 감성이였구나 댄스도 뭔가 진짜 즐기면서 추는거 같음
@user-nr3hl6iy4n,전  90년대  노래가  전반적으로  젤  좋아여.   2000년대보다  더  세련된  즐거운  경쾌한 느낌!!!
@sminchanable,이재훈 저 당시 잘생기기도 잘생겼지만 뭔가 호감상이라 인기가 더 많았음
@unirana79,역시 쿨입니다...이재훈목소리 짱 ~~~다시 쿨보고싶어요. 요즘은이런노래가없는지...슬프네요
@minneobi,"신기한게, 분명 쿨의 시그니쳐송은 운명(여름 노래가 아니라는 게 아이러니 하지만)이었던 것 같은데, 실제로 당시에 가요톱텐도 4주인가 5주 연속 1위였고, 어느 순간부터 이 노래가 쿨 최고의 노래 처럼 된듯? 히든싱어같은 프로그램에서 마지막 노래로 나오고.."
@user-cg5yi7rz2r,이것도 대한민국 여름의 대표곡들중에 열손가락 꼽히는10명곡??
@id7771able,대한민국 가요 역사에 한 휙을 그은  댄스 레전드곡 중 하나
@user-xl1dh6ft9y,쿨은   지금2023년에  들어도   좋다
@motorhead7811,노래방에서 누구든 꼭 부르는 노래 ㅎㅎ무려 25년 전인데 하나도 어색하지가 않다....
@Faith0929ROK,After 20 years it still sounds refreshing!
@user-li8hd2xj2z,예전노래 들으면 진심 감성돋는다
@nongsim7730,명품 노래
@user-wp2rg2io4v,커서 들어도 여전히 좋구나
@user-dn8no6gb5s,성량도 노래실력도 모두 ㅇㅋ
@jamesmark5014,안무가 상당히 창의적이고 신선하다
@yhfeelslh,유리..이렇게 목소리에 색깔이 있어야지요..그냥 바이브레이션 좋은 사람은 수없이 많지요..
@user-vc1bz1jd5p,레전드의 사실상 시작점...개명곡
@Sanghoonking,몇년을들어도 질리지가않네..
@2jaehyunjae,14살이라 저 때를 잘 모르지만 노래도 좋고 노래도 잘부르고 얼굴도 잘생기고 춤도 잘추면 인기 엄청났겠다..
